date,Ask
2022-03-23 18:44:23.256,4476.58
2022-03-23 18:44:23.812,4476.37
2022-03-23 18:44:24.296,4476.32
2022-03-23 18:44:25.489,4475.87
2022-03-23 18:44:27.008,4476.07
2022-03-23 18:44:27.843,4476.34
2022-03-23 18:44:29.284,4476.6
2022-03-23 18:44:30.368,4476.85
2022-03-23 18:44:31.012,4477.09
2022-03-23 18:44:31.429,4477.08
2022-03-23 18:44:32.464,4476.81
2022-03-23 18:44:33.375,4476.59
2022-03-23 18:44:33.775,4476.6
2022-03-23 18:44:34.732,4476.85
2022-03-23 18:44:35.969,4476.83
2022-03-23 18:44:36.743,4476.84
2022-03-23 18:44:37.856,4476.84
2022-03-23 18:44:38.794,4476.83
2022-03-23 18:44:44.296,4476.85
2022-03-23 18:44:44.870,4477.06
2022-03-23 18:44:45.635,4476.83
2022-03-23 18:44:46.443,4476.81
2022-03-23 18:44:47.969,4476.84
2022-03-23 18:44:49.136,4476.82
2022-03-23 18:44:50.456,4477.08
2022-03-23 18:44:50.921,4477.11
2022-03-23 18:44:51.498,4477.32
2022-03-23 18:44:51.800,4477.29
2022-03-23 18:44:52.514,4477.08
2022-03-23 18:44:53.835,4476.83
2022-03-23 18:44:54.379,4476.85
2022-03-23 18:44:55.025,4476.34
2022-03-23 18:44:55.529,4476.35
2022-03-23 18:44:56.029,4476.32
2022-03-23 18:44:56.514,4476.35
2022-03-23 18:44:56.784,4476.35
2022-03-23 18:44:58.519,4476.64
2022-03-23 18:44:58.947,4476.59
2022-03-23 18:44:59.465,4476.58
2022-03-23 18:45:00.002,4476.59
2022-03-23 18:45:00.417,4476.57
2022-03-23 18:45:01.370,4476.6
2022-03-23 18:45:01.871,4476.6
2022-03-23 18:45:02.272,4476.57
2022-03-23 18:45:02.896,4476.59
2022-03-23 18:45:04.647,4476.57
2022-03-23 18:45:06.303,4476.08
2022-03-23 18:45:06.970,4476.08
2022-03-23 18:45:07.828,4476.07
2022-03-23 18:45:08.390,4476.08
2022-03-23 18:45:08.961,4476.09
2022-03-23 18:45:09.627,4476.06
2022-03-23 18:45:10.134,4476.07
2022-03-23 18:45:10.859,4476.12
2022-03-23 18:45:12.516,4476.6
2022-03-23 18:45:12.828,4476.85
2022-03-23 18:45:13.346,4477.1
2022-03-23 18:45:13.779,4477.09
2022-03-23 18:45:15.238,4477.55
2022-03-23 18:45:15.980,4477.33
2022-03-23 18:45:16.465,4477.34
2022-03-23 18:45:17.031,4477.59
2022-03-23 18:45:17.794,4477.84
2022-03-23 18:45:18.830,4477.83
2022-03-23 18:45:19.384,4477.57
2022-03-23 18:45:19.794,4477.35
2022-03-23 18:45:21.022,4477.82
2022-03-23 18:45:21.475,4477.84
2022-03-23 18:45:21.999,4477.82
2022-03-23 18:45:24.465,4477.57
2022-03-23 18:45:25.030,4477.33
2022-03-23 18:45:25.406,4477.35
2022-03-23 18:45:25.884,4477.6
2022-03-23 18:45:27.736,4477.75
2022-03-23 18:45:28.450,4477.57
2022-03-23 18:45:29.477,4477.6
2022-03-23 18:45:29.998,4477.1
2022-03-23 18:45:30.959,4477.09
2022-03-23 18:45:32.331,4477.09
2022-03-23 18:45:33.157,4477.1
2022-03-23 18:45:34.507,4477.32
2022-03-23 18:45:35.712,4477.36
2022-03-23 18:45:36.523,4477.33
2022-03-23 18:45:37.108,4477.34
2022-03-23 18:45:37.752,4477.58
2022-03-23 18:45:38.525,4477.6
2022-03-23 18:45:39.429,4477.8
2022-03-23 18:45:39.945,4477.71
